[GIN] 2026/09/11 - 13:52:58 | 200 |      2.7878ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:52:58 | 200 |      3.3213ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:53:00 | 200 |    2.0635523s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 13:53:05 | 200 |    4.3505963s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 13:53:05 | 200 |      1.0405ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 13:53:05 | 200 |      2.8339ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:53:05 | 200 |      2.2751ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:53:05 | 200 |      2.2751ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:53:06 | 200 |    1.6069511s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 13:53:08 | 200 |    1.7651659s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 13:53:08 | 200 |      1.0358ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 13:53:08 | 200 |      1.5718ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:53:08 | 200 |      2.0924ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:53:08 | 200 |      2.0924ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:53:12 | 200 |    3.4620703s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 13:53:13 | 200 |    881.7527ms |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 13:53:13 | 200 |      1.0733ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 13:53:13 | 200 |      2.0694ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:53:13 | 200 |      2.0741ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:53:13 | 200 |      2.0741ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:53:14 | 200 |    1.4327827s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 13:53:16 | 200 |    1.4055882s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 14:05:17 | 200 |      1.1948ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:08:14 | 200 |       600.9µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:13:48 | 200 |         522µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:14:04 | 200 |      2.0378ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:14:19 | 200 |       502.5µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:14:34 | 200 |      1.0675ms |       127.0.0.1 | GET      "/api/tags"
